x,y
27,14
27,18
33,14
34,6
37,2
37,5
35,10
37,18
39,28
40,31
24,24
23,19
14,15
14,9
17,2
29,4
28,6
23,14
20,16
20,26
9,36
6,40
11,39
16,31
23,29
36,31
35,29
35,31
36,33
34,39
26,39
17,38
5,35
5,21
9,17
10,17
10,12
9,8
3,6
1,4
