x,y
40,31
39,28
35,29
35,31
36,31
36,33
34,39
26,39
17,38
11,39
6,40
5,35
9,36
16,31
20,26
23,29
24,24
23,19
27,18
23,14
27,14
33,14
37,18
35,10
37,5
37,2
34,6
29,4
28,6
17,2
14,9
9,8
1,4
3,6
10,12
5,21
9,17
10,17
14,15
20,16
